medicine,toxicity_level,disposal,compost_safe,warnings
Paracetamol Oral,Low,Safe landfill,No,Should be incinerated to avoid soil contamination.
Paracetamol SR,High,Hazardous waste treatment,Yes,Disrupts soil microbes if composted.
Paracetamol Tablet,High,Return to pharmacy,Yes,Can enter waterways through improper disposal.
Paracetamol XL,Low,Eco-bin drop-off,No,Should be incinerated to avoid soil contamination.
Paracetamol SR,Low,Do not flush. Incinerate,Yes,Dispose carefully to avoid antibiotic resistance.
Paracetamol 500mg,Low,Hazardous waste treatment,Yes,Can enter waterways through improper disposal.
Paracetamol Tab,Medium,Hazardous waste treatment,Yes,Should be incinerated to avoid soil contamination.
Paracetamol Cap,Medium,Hazardous waste treatment,Yes,Eco-hazardous if mixed with household waste.
Paracetamol Oral,Medium,Do not flush. Incinerate,Yes,Should be incinerated to avoid soil contamination.
Paracetamol Tablet,Low,Return to pharmacy,No,Should be incinerated to avoid soil contamination.
Paracetamol Oral,Medium,Safe landfill,Yes,Dispose carefully to avoid antibiotic resistance.
Paracetamol 100mg,Low,Return to pharmacy,No,Toxic if released into groundwater.
Paracetamol Cap,High,Hazardous waste treatment,Yes,Harmful to aquatic life.
Paracetamol Cap,High,Safe landfill,No,Dispose carefully to avoid antibiotic resistance.
Paracetamol Capsule,High,Hazardous waste treatment,Yes,Should be incinerated to avoid soil contamination.
Paracetamol 100mg,Low,Return to pharmacy,No,Disrupts soil microbes if composted.
Paracetamol 250mg,Low,Hazardous waste treatment,Yes,Dispose carefully to avoid antibiotic resistance.
Paracetamol XL,Medium,Return to pharmacy,No,Eco-hazardous if mixed with household waste.
Paracetamol Cap,Low,Return to pharmacy,No,Avoid flushing. Dispose in eco-safe bins.
Paracetamol SR,Low,Eco-bin drop-off,No,Disrupts soil microbes if composted.
Paracetamol Oral,Medium,Hazardous waste treatment,No,Avoid flushing. Dispose in eco-safe bins.
Paracetamol SR,Medium,Safe landfill,Yes,Harmful to aquatic life.
Paracetamol Tablet,Medium,Eco-bin drop-off,Yes,Avoid flushing. Dispose in eco-safe bins.
Paracetamol Tablet,Medium,Eco-bin drop-off,No,Harmful to aquatic life.
Paracetamol 100mg,Medium,Safe landfill,Yes,Should be incinerated to avoid soil contamination.
Paracetamol Oral,Medium,Hazardous waste treatment,No,Eco-hazardous if mixed with household waste.
Paracetamol 100mg,Medium,Hazardous waste treatment,No,Dispose carefully to avoid antibiotic resistance.
Paracetamol XL,Medium,Return to pharmacy,Yes,Should be incinerated to avoid soil contamination.
Paracetamol Cap,Medium,Safe landfill,No,Can enter waterways through improper disposal.
Paracetamol SR,Low,Return to pharmacy,Yes,Eco-hazardous if mixed with household waste.
Paracetamol 100mg,Medium,Return to pharmacy,No,Eco-hazardous if mixed with household waste.
Paracetamol 500mg,High,Safe landfill,Yes,Dispose carefully to avoid antibiotic resistance.
Paracetamol Capsule,Medium,Safe landfill,Yes,Dispose carefully to avoid antibiotic resistance.
Paracetamol 100mg,Low,Do not flush. Incinerate,No,Avoid flushing. Dispose in eco-safe bins.
Paracetamol 100mg,High,Return to pharmacy,No,Toxic if released into groundwater.
Paracetamol XL,Low,Safe landfill,Yes,Toxic if released into groundwater.
Paracetamol Oral,Low,Safe landfill,Yes,Can enter waterways through improper disposal.
Paracetamol SR,Medium,Return to pharmacy,Yes,Toxic if released into groundwater.
Paracetamol Cap,Low,Safe landfill,Yes,Toxic if released into groundwater.
Paracetamol Tab,Medium,Return to pharmacy,Yes,Eco-hazardous if mixed with household waste.
Paracetamol 250mg,High,Do not flush. Incinerate,Yes,Avoid flushing. Dispose in eco-safe bins.
Paracetamol Tablet,Low,Return to pharmacy,Yes,Toxic if released into groundwater.
Paracetamol Tab,Medium,Do not flush. Incinerate,Yes,Should be incinerated to avoid soil contamination.
Paracetamol Oral,Medium,Safe landfill,Yes,Disrupts soil microbes if composted.
Paracetamol Tablet,High,Return to pharmacy,Yes,Should be incinerated to avoid soil contamination.
Paracetamol Oral,Medium,Safe landfill,No,Toxic if released into groundwater.
Paracetamol 100mg,Low,Return to pharmacy,No,Toxic if released into groundwater.
Paracetamol Tab,Low,Do not flush. Incinerate,Yes,Avoid flushing. Dispose in eco-safe bins.
Paracetamol 250mg,High,Return to pharmacy,No,Avoid flushing. Dispose in eco-safe bins.
Paracetamol Tab,High,Hazardous waste treatment,Yes,Harmful to aquatic life.
Paracetamol 100mg,Low,Eco-bin drop-off,Yes,Harmful to aquatic life.
Paracetamol Tablet,Low,Safe landfill,No,Toxic if released into groundwater.
Paracetamol 500mg,Low,Safe landfill,No,Should be incinerated to avoid soil contamination.
Paracetamol Tab,Medium,Eco-bin drop-off,Yes,Disrupts soil microbes if composted.
Paracetamol 500mg,Low,Do not flush. Incinerate,No,Avoid flushing. Dispose in eco-safe bins.
Paracetamol Oral,Medium,Safe landfill,No,Should be incinerated to avoid soil contamination.
Paracetamol Tab,Medium,Safe landfill,No,Dispose carefully to avoid antibiotic resistance.
Paracetamol SR,Medium,Eco-bin drop-off,Yes,Eco-hazardous if mixed with household waste.
Paracetamol 500mg,Medium,Hazardous waste treatment,No,Can enter waterways through improper disposal.
Paracetamol 250mg,High,Return to pharmacy,Yes,Should be incinerated to avoid soil contamination.
Paracetamol 250mg,High,Return to pharmacy,Yes,Harmful to aquatic life.
Paracetamol SR,High,Eco-bin drop-off,No,Disrupts soil microbes if composted.
Paracetamol Tab,Medium,Safe landfill,No,Avoid flushing. Dispose in eco-safe bins.
Paracetamol Cap,High,Do not flush. Incinerate,No,Eco-hazardous if mixed with household waste.
Paracetamol 250mg,Medium,Do not flush. Incinerate,No,Eco-hazardous if mixed with household waste.
Paracetamol Cap,Low,Hazardous waste treatment,Yes,Toxic if released into groundwater.
Paracetamol SR,Medium,Eco-bin drop-off,Yes,Can enter waterways through improper disposal.
Paracetamol SR,High,Hazardous waste treatment,Yes,Dispose carefully to avoid antibiotic resistance.
Paracetamol Oral,Low,Do not flush. Incinerate,Yes,Can enter waterways through improper disposal.
Paracetamol SR,High,Safe landfill,Yes,Eco-hazardous if mixed with household waste.
Paracetamol 100mg,Low,Do not flush. Incinerate,Yes,Harmful to aquatic life.
Paracetamol Capsule,Low,Do not flush. Incinerate,Yes,Toxic if released into groundwater.
Paracetamol 100mg,Medium,Return to pharmacy,No,Harmful to aquatic life.
Paracetamol XL,High,Hazardous waste treatment,Yes,Dispose carefully to avoid antibiotic resistance.
Paracetamol 100mg,High,Safe landfill,No,Eco-hazardous if mixed with household waste.
Paracetamol SR,Medium,Eco-bin drop-off,No,Harmful to aquatic life.
Paracetamol XL,Low,Eco-bin drop-off,Yes,Should be incinerated to avoid soil contamination.
Paracetamol 250mg,Low,Eco-bin drop-off,Yes,Toxic if released into groundwater.
Paracetamol SR,Low,Return to pharmacy,No,Can enter waterways through improper disposal.
Paracetamol Oral,Medium,Do not flush. Incinerate,No,Can enter waterways through improper disposal.
Paracetamol Tab,High,Hazardous waste treatment,Yes,Should be incinerated to avoid soil contamination.
Paracetamol Cap,Medium,Eco-bin drop-off,Yes,Can enter waterways through improper disposal.
Paracetamol 500mg,High,Hazardous waste treatment,Yes,Harmful to aquatic life.
Paracetamol 250mg,Low,Do not flush. Incinerate,No,Disrupts soil microbes if composted.
Paracetamol SR,Medium,Return to pharmacy,No,Toxic if released into groundwater.
Paracetamol 100mg,Medium,Safe landfill,No,Toxic if released into groundwater.
Paracetamol Tab,Low,Hazardous waste treatment,No,Avoid flushing. Dispose in eco-safe bins.
Paracetamol Oral,High,Do not flush. Incinerate,No,Can enter waterways through improper disposal.
Paracetamol Tablet,Medium,Safe landfill,Yes,Can enter waterways through improper disposal.
Paracetamol 500mg,Medium,Hazardous waste treatment,No,Disrupts soil microbes if composted.
Paracetamol Oral,Medium,Hazardous waste treatment,No,Eco-hazardous if mixed with household waste.
Paracetamol Oral,Medium,Eco-bin drop-off,No,Dispose carefully to avoid antibiotic resistance.
Paracetamol Capsule,Low,Safe landfill,Yes,Toxic if released into groundwater.
Paracetamol Capsule,High,Safe landfill,No,Eco-hazardous if mixed with household waste.
Paracetamol Oral,Low,Do not flush. Incinerate,Yes,Disrupts soil microbes if composted.
Paracetamol Oral,High,Return to pharmacy,Yes,Harmful to aquatic life.
Paracetamol Tab,Medium,Do not flush. Incinerate,No,Disrupts soil microbes if composted.
Paracetamol Capsule,Low,Eco-bin drop-off,No,Can enter waterways through improper disposal.
Paracetamol 500mg,Medium,Eco-bin drop-off,No,Eco-hazardous if mixed with household waste.
Paracetamol Tab,Low,Return to pharmacy,Yes,Should be incinerated to avoid soil contamination.
Paracetamol 500mg,Low,Do not flush. Incinerate,Yes,Harmful to aquatic life.
Paracetamol Capsule,Medium,Eco-bin drop-off,Yes,Avoid flushing. Dispose in eco-safe bins.
Paracetamol Tab,Low,Eco-bin drop-off,Yes,Dispose carefully to avoid antibiotic resistance.
Paracetamol SR,High,Hazardous waste treatment,No,Harmful to aquatic life.
Paracetamol 250mg,Medium,Hazardous waste treatment,No,Avoid flushing. Dispose in eco-safe bins.
Paracetamol Tablet,High,Return to pharmacy,Yes,Can enter waterways through improper disposal.
Paracetamol 500mg,Low,Hazardous waste treatment,Yes,Disrupts soil microbes if composted.
Paracetamol Capsule,Medium,Eco-bin drop-off,Yes,Can enter waterways through improper disposal.
Paracetamol XL,Medium,Safe landfill,No,Toxic if released into groundwater.
Paracetamol 500mg,High,Do not flush. Incinerate,No,Harmful to aquatic life.
Paracetamol SR,Medium,Hazardous waste treatment,Yes,Disrupts soil microbes if composted.
Paracetamol 250mg,Low,Eco-bin drop-off,Yes,Avoid flushing. Dispose in eco-safe bins.
Paracetamol 500mg,Medium,Eco-bin drop-off,Yes,Toxic if released into groundwater.
Paracetamol Capsule,High,Return to pharmacy,Yes,Harmful to aquatic life.
Paracetamol Cap,Medium,Return to pharmacy,Yes,Eco-hazardous if mixed with household waste.
Paracetamol XL,High,Return to pharmacy,Yes,Eco-hazardous if mixed with household waste.
Paracetamol Tablet,Medium,Safe landfill,Yes,Toxic if released into groundwater.
Paracetamol Tab,Low,Do not flush. Incinerate,No,Eco-hazardous if mixed with household waste.
Paracetamol Oral,Low,Safe landfill,Yes,Dispose carefully to avoid antibiotic resistance.
Paracetamol XL,High,Return to pharmacy,Yes,Harmful to aquatic life.
Paracetamol 250mg,High,Hazardous waste treatment,No,Toxic if released into groundwater.
Paracetamol Capsule,Medium,Eco-bin drop-off,No,Harmful to aquatic life.
Paracetamol 100mg,Low,Do not flush. Incinerate,Yes,Toxic if released into groundwater.
Paracetamol 500mg,Low,Hazardous waste treatment,Yes,Avoid flushing. Dispose in eco-safe bins.
Paracetamol SR,Low,Eco-bin drop-off,Yes,Eco-hazardous if mixed with household waste.
Paracetamol Tab,Low,Hazardous waste treatment,Yes,Disrupts soil microbes if composted.
Paracetamol 100mg,Low,Hazardous waste treatment,No,Harmful to aquatic life.
Paracetamol Oral,Medium,Safe landfill,No,Can enter waterways through improper disposal.
Paracetamol 250mg,Low,Do not flush. Incinerate,No,Can enter waterways through improper disposal.
Paracetamol 500mg,High,Eco-bin drop-off,Yes,Harmful to aquatic life.
Paracetamol Cap,Low,Eco-bin drop-off,Yes,Harmful to aquatic life.
Paracetamol 100mg,High,Safe landfill,Yes,Avoid flushing. Dispose in eco-safe bins.
Paracetamol 500mg,High,Hazardous waste treatment,No,Can enter waterways through improper disposal.
Paracetamol Oral,Low,Eco-bin drop-off,No,Can enter waterways through improper disposal.
Ibuprofen XL,High,Safe landfill,Yes,Avoid flushing. Dispose in eco-safe bins.
Ibuprofen XL,Low,Eco-bin drop-off,Yes,Can enter waterways through improper disposal.
Ibuprofen 250mg,Low,Eco-bin drop-off,No,Avoid flushing. Dispose in eco-safe bins.
Ibuprofen Capsule,Medium,Eco-bin drop-off,Yes,Disrupts soil microbes if composted.
Ibuprofen XL,Medium,Do not flush. Incinerate,No,Dispose carefully to avoid antibiotic resistance.
Ibuprofen Capsule,Low,Do not flush. Incinerate,Yes,Eco-hazardous if mixed with household waste.
Ibuprofen 100mg,Medium,Eco-bin drop-off,No,Should be incinerated to avoid soil contamination.
Ibuprofen Cap,Medium,Safe landfill,Yes,Eco-hazardous if mixed with household waste.
Ibuprofen XL,Medium,Hazardous waste treatment,Yes,Disrupts soil microbes if composted.
Ibuprofen 500mg,Medium,Return to pharmacy,No,Dispose carefully to avoid antibiotic resistance.
Ibuprofen Capsule,Low,Safe landfill,Yes,Should be incinerated to avoid soil contamination.
Ibuprofen Tablet,Medium,Do not flush. Incinerate,No,Can enter waterways through improper disposal.
Ibuprofen 250mg,Low,Eco-bin drop-off,Yes,Eco-hazardous if mixed with household waste.
Ibuprofen 500mg,Low,Hazardous waste treatment,Yes,Toxic if released into groundwater.
Ibuprofen XL,Low,Safe landfill,Yes,Disrupts soil microbes if composted.
Ibuprofen Oral,Low,Eco-bin drop-off,No,Toxic if released into groundwater.
Ibuprofen Capsule,Low,Return to pharmacy,No,Can enter waterways through improper disposal.
Ibuprofen Capsule,High,Return to pharmacy,Yes,Can enter waterways through improper disposal.
Ibuprofen Tab,Medium,Eco-bin drop-off,Yes,Avoid flushing. Dispose in eco-safe bins.
Ibuprofen Oral,Medium,Hazardous waste treatment,No,Should be incinerated to avoid soil contamination.
Ibuprofen Cap,Medium,Do not flush. Incinerate,Yes,Disrupts soil microbes if composted.
Ibuprofen Tab,High,Safe landfill,Yes,Harmful to aquatic life.
Ibuprofen 500mg,Low,Safe landfill,Yes,Disrupts soil microbes if composted.
Ibuprofen Tablet,Medium,Return to pharmacy,No,Dispose carefully to avoid antibiotic resistance.
Ibuprofen Cap,Low,Safe landfill,No,Should be incinerated to avoid soil contamination.
Ibuprofen 250mg,Low,Safe landfill,No,Eco-hazardous if mixed with household waste.
Ibuprofen 100mg,High,Eco-bin drop-off,Yes,Should be incinerated to avoid soil contamination.
Ibuprofen Capsule,Medium,Do not flush. Incinerate,Yes,Should be incinerated to avoid soil contamination.
Ibuprofen Cap,Medium,Eco-bin drop-off,No,Avoid flushing. Dispose in eco-safe bins.
Ibuprofen Capsule,Medium,Hazardous waste treatment,Yes,Disrupts soil microbes if composted.
Ibuprofen Capsule,Medium,Do not flush. Incinerate,Yes,Eco-hazardous if mixed with household waste.
Ibuprofen 500mg,Medium,Return to pharmacy,No,Toxic if released into groundwater.
Ibuprofen XL,High,Hazardous waste treatment,Yes,Can enter waterways through improper disposal.
Ibuprofen XL,Low,Return to pharmacy,No,Disrupts soil microbes if composted.
Ibuprofen Oral,High,Do not flush. Incinerate,No,Dispose carefully to avoid antibiotic resistance.
Ibuprofen 250mg,Medium,Hazardous waste treatment,Yes,Toxic if released into groundwater.
Ibuprofen 500mg,High,Return to pharmacy,No,Dispose carefully to avoid antibiotic resistance.
Ibuprofen Tab,Medium,Do not flush. Incinerate,Yes,Avoid flushing. Dispose in eco-safe bins.
Ibuprofen XL,High,Return to pharmacy,Yes,Can enter waterways through improper disposal.
Ibuprofen SR,Low,Hazardous waste treatment,No,Disrupts soil microbes if composted.
Ibuprofen 500mg,Medium,Eco-bin drop-off,Yes,Harmful to aquatic life.
Ibuprofen 100mg,Low,Safe landfill,No,Harmful to aquatic life.
Ibuprofen Oral,Medium,Eco-bin drop-off,Yes,Avoid flushing. Dispose in eco-safe bins.
Ibuprofen Oral,High,Return to pharmacy,No,Harmful to aquatic life.
Ibuprofen Tab,High,Do not flush. Incinerate,Yes,Should be incinerated to avoid soil contamination.
Ibuprofen SR,Low,Safe landfill,No,Harmful to aquatic life.
Ibuprofen Tablet,Low,Do not flush. Incinerate,No,Dispose carefully to avoid antibiotic resistance.
Ibuprofen Oral,High,Hazardous waste treatment,No,Avoid flushing. Dispose in eco-safe bins.
Ibuprofen Oral,Low,Do not flush. Incinerate,Yes,Can enter waterways through improper disposal.
Ibuprofen XL,Medium,Eco-bin drop-off,Yes,Toxic if released into groundwater.
Ibuprofen 100mg,Low,Do not flush. Incinerate,Yes,Eco-hazardous if mixed with household waste.
Ibuprofen Cap,Low,Hazardous waste treatment,No,Dispose carefully to avoid antibiotic resistance.
Ibuprofen SR,Medium,Eco-bin drop-off,No,Can enter waterways through improper disposal.
Ibuprofen 500mg,Medium,Return to pharmacy,No,Toxic if released into groundwater.
Ibuprofen Tab,High,Eco-bin drop-off,Yes,Disrupts soil microbes if composted.
Ibuprofen 250mg,Medium,Hazardous waste treatment,No,Should be incinerated to avoid soil contamination.
Ibuprofen Capsule,Medium,Safe landfill,Yes,Toxic if released into groundwater.
Ibuprofen 500mg,Medium,Hazardous waste treatment,No,Disrupts soil microbes if composted.
Ibuprofen Tab,Medium,Do not flush. Incinerate,Yes,Avoid flushing. Dispose in eco-safe bins.
Ibuprofen Oral,Medium,Return to pharmacy,No,Toxic if released into groundwater.
Ibuprofen 250mg,Medium,Do not flush. Incinerate,No,Disrupts soil microbes if composted.
Ibuprofen Tablet,High,Hazardous waste treatment,No,Disrupts soil microbes if composted.
Ibuprofen Tablet,High,Hazardous waste treatment,Yes,Can enter waterways through improper disposal.
Ibuprofen XL,Low,Return to pharmacy,No,Eco-hazardous if mixed with household waste.
Ibuprofen 250mg,Medium,Do not flush. Incinerate,Yes,Harmful to aquatic life.
Ibuprofen XL,Low,Safe landfill,No,Disrupts soil microbes if composted.
Ibuprofen 100mg,Low,Safe landfill,Yes,Avoid flushing. Dispose in eco-safe bins.
Ibuprofen 500mg,Medium,Eco-bin drop-off,No,Can enter waterways through improper disposal.
Ibuprofen Tablet,High,Do not flush. Incinerate,Yes,Toxic if released into groundwater.
Ibuprofen XL,High,Return to pharmacy,Yes,Avoid flushing. Dispose in eco-safe bins.
Ibuprofen Oral,Medium,Return to pharmacy,No,Avoid flushing. Dispose in eco-safe bins.
Ibuprofen XL,Low,Hazardous waste treatment,No,Disrupts soil microbes if composted.
Ibuprofen SR,Low,Return to pharmacy,No,Can enter waterways through improper disposal.
Ibuprofen 100mg,Medium,Return to pharmacy,No,Harmful to aquatic life.
Ibuprofen Capsule,Low,Do not flush. Incinerate,No,Disrupts soil microbes if composted.
Ibuprofen Tab,High,Eco-bin drop-off,No,Eco-hazardous if mixed with household waste.
Ibuprofen Tablet,High,Do not flush. Incinerate,No,Toxic if released into groundwater.
Ibuprofen XL,Low,Return to pharmacy,No,Should be incinerated to avoid soil contamination.
Ibuprofen 500mg,Low,Hazardous waste treatment,Yes,Should be incinerated to avoid soil contamination.
Ibuprofen 100mg,High,Eco-bin drop-off,Yes,Dispose carefully to avoid antibiotic resistance.
Ibuprofen Capsule,Low,Do not flush. Incinerate,No,Disrupts soil microbes if composted.
Ibuprofen Oral,High,Eco-bin drop-off,Yes,Toxic if released into groundwater.
Ibuprofen Capsule,Medium,Do not flush. Incinerate,Yes,Harmful to aquatic life.
Ibuprofen Oral,High,Safe landfill,Yes,Avoid flushing. Dispose in eco-safe bins.
Ibuprofen XL,Medium,Eco-bin drop-off,Yes,Should be incinerated to avoid soil contamination.
Ibuprofen 250mg,High,Hazardous waste treatment,Yes,Can enter waterways through improper disposal.
Ibuprofen 100mg,Low,Do not flush. Incinerate,Yes,Dispose carefully to avoid antibiotic resistance.
Ibuprofen Capsule,Medium,Eco-bin drop-off,Yes,Dispose carefully to avoid antibiotic resistance.
Ibuprofen 250mg,High,Return to pharmacy,Yes,Avoid flushing. Dispose in eco-safe bins.
Ibuprofen XL,Low,Eco-bin drop-off,No,Disrupts soil microbes if composted.
Ibuprofen SR,High,Do not flush. Incinerate,Yes,Toxic if released into groundwater.
Ibuprofen Tablet,Low,Do not flush. Incinerate,Yes,Avoid flushing. Dispose in eco-safe bins.
Ibuprofen 100mg,Medium,Return to pharmacy,Yes,Can enter waterways through improper disposal.
Ibuprofen 500mg,Medium,Eco-bin drop-off,No,Disrupts soil microbes if composted.
Ibuprofen 100mg,Medium,Hazardous waste treatment,No,Harmful to aquatic life.
Ibuprofen SR,Medium,Return to pharmacy,Yes,Harmful to aquatic life.
Ibuprofen Capsule,Medium,Eco-bin drop-off,Yes,Dispose carefully to avoid antibiotic resistance.
Ibuprofen Tab,Medium,Do not flush. Incinerate,Yes,Eco-hazardous if mixed with household waste.
Ibuprofen 100mg,Low,Do not flush. Incinerate,No,Can enter waterways through improper disposal.
Ibuprofen Tab,Medium,Eco-bin drop-off,Yes,Can enter waterways through improper disposal.
Ibuprofen Capsule,Low,Eco-bin drop-off,No,Dispose carefully to avoid antibiotic resistance.
Ibuprofen Oral,Medium,Safe landfill,Yes,Eco-hazardous if mixed with household waste.
Ibuprofen Tablet,Medium,Eco-bin drop-off,Yes,Disrupts soil microbes if composted.
Ibuprofen 100mg,Low,Hazardous waste treatment,Yes,Should be incinerated to avoid soil contamination.
Ibuprofen Tablet,Medium,Eco-bin drop-off,Yes,Harmful to aquatic life.
Ibuprofen Oral,Low,Do not flush. Incinerate,No,Dispose carefully to avoid antibiotic resistance.
Ibuprofen Tablet,High,Do not flush. Incinerate,No,Avoid flushing. Dispose in eco-safe bins.
Ibuprofen 250mg,Medium,Eco-bin drop-off,Yes,Avoid flushing. Dispose in eco-safe bins.
Ibuprofen SR,Low,Eco-bin drop-off,Yes,Can enter waterways through improper disposal.
Ibuprofen 250mg,High,Eco-bin drop-off,No,Dispose carefully to avoid antibiotic resistance.
Ibuprofen Capsule,High,Do not flush. Incinerate,Yes,Dispose carefully to avoid antibiotic resistance.
Ibuprofen XL,Low,Eco-bin drop-off,No,Avoid flushing. Dispose in eco-safe bins.
Ibuprofen Tablet,High,Eco-bin drop-off,Yes,Eco-hazardous if mixed with household waste.
Ibuprofen Oral,Medium,Return to pharmacy,Yes,Disrupts soil microbes if composted.
Ibuprofen 500mg,High,Do not flush. Incinerate,No,Can enter waterways through improper disposal.
Ibuprofen 100mg,High,Safe landfill,No,Dispose carefully to avoid antibiotic resistance.
Ibuprofen SR,High,Do not flush. Incinerate,No,Disrupts soil microbes if composted.
Ibuprofen 250mg,Low,Do not flush. Incinerate,No,Can enter waterways through improper disposal.
Ibuprofen XL,High,Do not flush. Incinerate,No,Toxic if released into groundwater.
Ibuprofen Tab,Medium,Do not flush. Incinerate,No,Toxic if released into groundwater.
Ibuprofen Tab,Low,Eco-bin drop-off,No,Can enter waterways through improper disposal.
Ibuprofen 100mg,Medium,Return to pharmacy,No,Dispose carefully to avoid antibiotic resistance.
Ibuprofen XL,Medium,Eco-bin drop-off,Yes,Should be incinerated to avoid soil contamination.
Ibuprofen 100mg,Medium,Hazardous waste treatment,Yes,Avoid flushing. Dispose in eco-safe bins.
Ibuprofen Tablet,Low,Hazardous waste treatment,No,Toxic if released into groundwater.
Ibuprofen Cap,Low,Safe landfill,Yes,Should be incinerated to avoid soil contamination.
Ibuprofen 100mg,High,Hazardous waste treatment,No,Harmful to aquatic life.
Ibuprofen 100mg,High,Do not flush. Incinerate,Yes,Harmful to aquatic life.
Ibuprofen Oral,Low,Hazardous waste treatment,Yes,Eco-hazardous if mixed with household waste.
Ibuprofen XL,High,Safe landfill,Yes,Disrupts soil microbes if composted.
Ibuprofen SR,Low,Do not flush. Incinerate,No,Toxic if released into groundwater.
Ibuprofen 500mg,Low,Return to pharmacy,No,Harmful to aquatic life.
Ibuprofen Tab,High,Do not flush. Incinerate,No,Harmful to aquatic life.
Ibuprofen Tablet,Low,Return to pharmacy,Yes,Dispose carefully to avoid antibiotic resistance.
Ibuprofen Oral,High,Hazardous waste treatment,No,Toxic if released into groundwater.
Ibuprofen 250mg,Low,Return to pharmacy,No,Can enter waterways through improper disposal.
Ibuprofen 500mg,Medium,Do not flush. Incinerate,No,Eco-hazardous if mixed with household waste.
Ibuprofen 100mg,High,Safe landfill,No,Eco-hazardous if mixed with household waste.
Ibuprofen 250mg,High,Safe landfill,No,Disrupts soil microbes if composted.
Ibuprofen Tab,Medium,Hazardous waste treatment,No,Avoid flushing. Dispose in eco-safe bins.
